@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric

@data
462,'2017/05/28 21:05:12:016',5,61,312,61,668
463,'2017/05/28 21:05:12:039',5,62,312,62,665
464,'2017/05/28 21:05:12:039',5,63,312,63,665
465,'2017/05/28 21:05:12:043',5,64,312,64,665
466,'2017/05/28 21:05:12:053',5,65,312,65,665
467,'2017/05/28 21:05:12:081',5,66,312,66,665
468,'2017/05/28 21:05:12:081',5,67,309,67,665
469,'2017/05/28 21:05:12:083',5,68,309,68,665
470,'2017/05/28 21:05:12:098',5,69,306,69,665
471,'2017/05/28 21:05:12:103',5,70,303,70,665
472,'2017/05/28 21:05:12:116',5,71,303,71,665
473,'2017/05/28 21:05:12:123',5,72,303,72,665
