@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4}

@data
3130,'2017/05/31 10:26:00:329',12,471,-1.2,1
3131,'2017/05/31 10:26:00:343',12,471,-1.216366,1
3132,'2017/05/31 10:26:00:349',12,468,-1.232687,1
3133,'2017/05/31 10:26:00:359',12,468,-1.248963,1
3134,'2017/05/31 10:26:00:378',12,468,-1.269337,1
3135,'2017/05/31 10:26:00:387',12,468,-1.281379,1
3136,'2017/05/31 10:26:00:409',12,468,-1.293388,1
3137,'2017/05/31 10:26:00:409',12,474,-1.286107,1
3138,'2017/05/31 10:26:00:411',12,474,-1.278846,1
3139,'2017/05/31 10:26:00:425',12,474,-1.263374,1
3140,'2017/05/31 10:26:00:429',12,474,-1.247945,1
